Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DWV;Eigner;Bemerkung;geopos;lod
MAEN;Männedorf;2014-01-01;5100;6000.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.2534223208, 8.69233239506;http://lod.opentransportdata.swiss/didok/8503106
MOG;Mogelsberg;2014-01-01;200;220.0;SOB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.3637431434, 9.14260584875;http://lod.opentransportdata.swiss/didok/8506293
MX;Montreux;2014-01-01;15500;16000.0;CFF;Inklusive Bahnverkehr MVR.;46.4358743527, 6.91043275261;http://lod.opentransportdata.swiss/didok/8501300
MSPI;Münsterlingen Spital;2014-01-01;560;680.0;SBB;;47.6320503917, 9.23610817435;http://lod.opentransportdata.swiss/didok/8506143
LZVH;Luzern Verkehrshaus;2014-01-01;560;550.0;SBB;;47.053927868, 8.33728023957;http://lod.opentransportdata.swiss/didok/8517336
MB;Malleray-Bévilard;2014-01-01;620;750.0;CFF;;47.2387040498, 7.27593219578;http://lod.opentransportdata.swiss/didok/8500102
MAEG;Mägenwil;2014-01-01;810;1000.0;SBB;;47.4145021864, 8.23513921004;http://lod.opentransportdata.swiss/didok/8502106
MAS;Massongex;2014-01-01;300;370.0;CFF;;46.2411990719, 6.98565622637;http://lod.opentransportdata.swiss/didok/8501420
MF;Maienfeld;2014-01-01;760;850.0;SBB;;47.0038340592, 9.52919552142;http://lod.opentransportdata.swiss/didok/8509003
MDE;Melide;2014-01-01;820;920.0;FFS;;45.9557228958, 8.9483527013;http://lod.opentransportdata.swiss/didok/8505302
OP;Opfikon;2014-01-01;2800;3400.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4299514492, 8.56176987445;http://lod.opentransportdata.swiss/didok/8503340
NESE;Neuchâtel-Serrières;2014-01-01;520;610.0;CFF;;46.9839549788, 6.90335823773;http://lod.opentransportdata.swiss/didok/8504220
OAB;Oberried am Brienzersee;2014-01-01;160;170.0;ZB;;46.736557734, 7.95891948093;http://lod.opentransportdata.swiss/didok/8508303
NK;Neukirch-Egnach;2014-01-01;320;360.0;SOB;;47.5387945817, 9.37583489866;http://lod.opentransportdata.swiss/didok/8506398
OEF;Oberentfelden;2014-01-01;710;870.0;SBB;;47.3564807476, 8.04837791732;http://lod.opentransportdata.swiss/didok/8502102
ORD;Oberrieden;2014-01-01;1000;1100.0;SBB;;47.2796754088, 8.57844974795;http://lod.opentransportdata.swiss/didok/8503203
PFU;Pfungen;2014-01-01;1400;1700.0;SBB;;47.5160332387, 8.64661156441;http://lod.opentransportdata.swiss/didok/8506042
MI;Muri AG;2014-01-01;2200;2600.0;SBB;;47.2766601869, 8.3397982935;http://lod.opentransportdata.swiss/didok/8502215
OL;Olten;2014-01-01;69300;78100.0;SBB;;47.3519295325, 7.907688105;http://lod.opentransportdata.swiss/didok/8500218
OR;Oron;2014-01-01;50;50.0;CFF;;46.5725335165, 6.83710274179;http://lod.opentransportdata.swiss/didok/8504020
LOC;Le Locle;2014-01-01;1900;2300.0;CFF;Ohne TRN.;47.0578541411, 6.74615360469;http://lod.opentransportdata.swiss/didok/8504316
LO;Locarno;2014-01-01;5900;6200.0;FFS;Ohne FART.;46.1724273965, 8.80135894865;http://lod.opentransportdata.swiss/didok/8505400
LUT;Luterbach-Attisholz;2014-01-01;510;560.0;SBB;;47.2171432544, 7.58351524915;http://lod.opentransportdata.swiss/didok/8500208
LAPR;Lancy-Pont-Rouge;2014-01-01;1100;1600.0;CFF;;46.1888976308, 6.12533012554;http://lod.opentransportdata.swiss/didok/8516155
LDS;Landschlacht;2014-01-01;260;270.0;SBB;;47.6288954671, 9.24694004807;http://lod.opentransportdata.swiss/didok/8588122
LTH;Langenthal;2014-01-01;11400;13100.0;SBB;;47.2173003777, 7.78470885276;http://lod.opentransportdata.swiss/didok/8508100
LGB;Leuggelbach;2014-01-01;60;60.0;SBB;;46.9757415966, 9.04692465402;http://lod.opentransportdata.swiss/didok/8503235
LP;La Plaine;2014-01-01;960;1200.0;CFF;;46.1786594705, 5.99999627842;http://lod.opentransportdata.swiss/didok/8501001
AP;Ambri-Piotta;2014-01-01;50;50.0;FFS;;46.510616719, 8.69015147937;http://lod.opentransportdata.swiss/didok/8505202
AD;Aadorf;2014-01-01;1700;2000.0;SBB;;47.4881178542, 8.90328450849;http://lod.opentransportdata.swiss/didok/8506013
AL;Altdorf;2014-01-01;410;440.0;SBB;;46.8757407268, 8.63156572016;http://lod.opentransportdata.swiss/didok/8505113
ARB;Arbon;2014-01-01;1600;1700.0;SBB;;47.5105854479, 9.43333858591;http://lod.opentransportdata.swiss/didok/8506308
ISL;Islikon;2014-01-01;810;930.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5478354373, 8.84618065529;http://lod.opentransportdata.swiss/didok/8506019
