PLZ To	PLZ Name	Count	percent	cups_pday	cups_pday_segment
1350	Orbe	6.857142857142857	3.908858450463362e-05	19	1-50
1372	Bavois	11.142857142857142	6.351894982002963e-05	30	1-50
1373	Chavornay	11.0	6.270460430951644e-05	30	1-50
1400	Cheseaux-Noréaz Yverdon-les-Bains	71.0	0.00040472971872506063	192	50-200
1422	Grandson	5.428571428571429	3.094512939950162e-05	15	1-50
1426	Concise Corcelles-près-Concise	1.5	8.550627860388605e-06	4	1-50
1432	Belmont-sur-Yverdon Yverdon-les-Bains	2.142857142857143	1.2215182657698007e-05	6	1-50
1436	Chamblon Treycovagnes	1.6428571428571428	9.364973370901806e-06	4	1-50
1442	Montagny-près-Yverdon	1.8571428571428572	1.0586491636671606e-05	5	1-50
1462	Yvonand	8.0	4.560334858873923e-05	22	1-50
1468	Cheyres-Châbles	8.642857142857142	4.9267903386048626e-05	23	1-50
1470	Estavayer Lully (FR)	38.42857142857142	0.0002190589423280509	104	1-50
1473	Châtillon (FR) Estavayer	9.571428571428571	5.456114920438443e-05	26	1-50
1474	Cheyres-Châbles	4.0	2.2801674294369615e-05	11	1-50
1482	Cugy (FR)	9.642857142857142	5.4968321959641035e-05	26	1-50
1483	Cugy (FR) Les Montets	13.5	7.695565074349744e-05	37	1-50
1485	Nuvilly	1.5714285714285714	8.957800615645206e-06	4	1-50
1510	Moudon Syens	17.5	9.975732503786706e-05	47	1-50
1512	Chavannes-sur-Moudon	2.7857142857142856	1.5879737455007408e-05	8	1-50
1521	Curtilles	1.9285714285714286	1.0993664391928207e-05	5	1-50
1522	Lucens	5.142857142857143	2.9316438378475222e-05	14	1-50
1523	Valbroye	4.857142857142857	2.7687747357448816e-05	13	1-50
1525	Henniez Valbroye	2.2857142857142856	1.3029528168211207e-05	6	1-50
1530	Payerne	99.42857142857143	0.0005667844753171876	269	50-200
1532	Fétigny	2.4285714285714284	1.3843873678724408e-05	7	1-50
1533	Ménières	2.0714285714285716	1.1808009902441408e-05	6	1-50
1541	Estavayer Sévaz	6.357142857142857	3.623837521783742e-05	17	1-50
1543	Grandcour	2.2857142857142856	1.3029528168211207e-05	6	1-50
1544	Gletterens	2.0714285714285716	1.1808009902441408e-05	6	1-50
1545	Chevroux	2.4285714285714284	1.3843873678724408e-05	7	1-50
1551	Payerne	1.6428571428571428	9.364973370901806e-06	4	1-50
1553	Châtonnaye	1.7142857142857142	9.772146126158405e-06	5	1-50
1562	Corcelles-près-Payerne	26.642857142857142	0.0001518754377107119	72	1-50
1563	Belmont-Broye	7.5	4.275313930194303e-05	20	1-50
1564	Belmont-Broye	27.857142857142858	0.0001587973745500741	75	1-50
1565	Missy Vallon	3.2857142857142856	1.8729946741803612e-05	9	1-50
1566	Saint-Aubin (FR)	4.214285714285714	2.4023192560139417e-05	11	1-50
1568	Delley-Portalban	2.7857142857142856	1.5879737455007408e-05	8	1-50
1580	Avenches	74.07142857142857	0.0004222381472010945	201	50-200
1583	Courtepin	3.0	1.710125572077721e-05	8	1-50
1584	Vully-les-Lacs	1.8571428571428572	1.0586491636671606e-05	5	1-50
1585	Vully-les-Lacs	5.357142857142857	3.053795664424502e-05	15	1-50
1586	Vully-les-Lacs	4.642857142857143	2.6466229091679018e-05	13	1-50
1587	Vully-les-Lacs	1.5	8.550627860388605e-06	4	1-50
1588	Cudrefin	11.857142857142858	6.759067737259564e-05	32	1-50
1595	Clavaleyres Faoug	22.5	0.0001282594179058291	61	1-50
1607	Oron	36.357142857142854	0.0002072509324256095	98	1-50
1608	Chapelle (Glâne) Oron	13.642857142857142	7.776999625401065e-05	37	1-50
1609	Saint-Martin (FR)	1.8571428571428572	1.0586491636671606e-05	5	1-50
1610	Oron	15.0	8.550627860388606e-05	41	1-50
1612	Oron	3.142857142857143	1.791560123129041e-05	9	1-50
1614	Granges (Veveyse)	4.0	2.2801674294369615e-05	11	1-50
1615	Bossonnens	24.0	0.00013681004576621768	65	1-50
1616	Attalens	7.571428571428571	4.316031205719963e-05	21	1-50
1617	Attalens Remaufens	5.642857142857143	3.216664766527142e-05	15	1-50
1618	Châtel-Saint-Denis	14.428571428571429	8.224889656183325e-05	39	1-50
1619	Châtel-Saint-Denis	1.7857142857142858	1.0179318881415007e-05	5	1-50
1623	Semsales	2.4285714285714284	1.3843873678724408e-05	7	1-50
1624	La Verrerie	2.0	1.1400837147184808e-05	5	1-50
1625	Sâles	9.285714285714286	5.2932458183358036e-05	25	1-50
1626	Sâles	2.4285714285714284	1.3843873678724408e-05	7	1-50
1627	Vaulruz	11.928571428571429	6.799785012785225e-05	32	1-50
1628	Vuadens	23.714285714285715	0.0001351813547451913	64	1-50
1630	Bulle	153.42857142857142	0.0008746070782911773	415	50-200
1632	Riaz	13.785714285714286	7.858434176452386e-05	37	1-50
1633	Marsens	18.5	0.00010545774361145947	50	1-50
1634	La Roche	3.5714285714285716	2.0358637762830015e-05	10	1-50
1635	Bulle	24.428571428571427	0.00013925308229775728	66	1-50
1636	Broc	17.214285714285715	9.812863401684066e-05	47	1-50
1637	Val-de-Charmey	8.285714285714286	4.723203960976563e-05	22	1-50
1642	Sorens	2.9285714285714284	1.669408296552061e-05	8	1-50
1643	Pont-en-Ogoz	7.5	4.275313930194303e-05	20	1-50
1644	Pont-en-Ogoz	3.5714285714285716	2.0358637762830015e-05	10	1-50
1645	Pont-en-Ogoz	1.5714285714285714	8.957800615645206e-06	4	1-50
1646	Echarlens	3.642857142857143	2.0765810518086612e-05	10	1-50
1648	Hauteville	3.4285714285714284	1.954429225231681e-05	9	1-50
1652	Botterens	1.7857142857142858	1.0179318881415007e-05	5	1-50
1653	Châtel-sur-Montsalvens Crésuz	2.357142857142857	1.343670092346781e-05	6	1-50
1654	Val-de-Charmey	2.0714285714285716	1.1808009902441408e-05	6	1-50
1656	Jaun	6.214285714285714	3.5424029707324225e-05	17	1-50
1659	Rougemont	3.7142857142857144	2.1172983273343213e-05	10	1-50
1660	Château-d'Oex	3.0714285714285716	1.7508428476033814e-05	8	1-50
1661	Le Pâquier (FR)	8.142857142857142	4.6417694099252425e-05	22	1-50
1663	Gruyères	16.071428571428573	9.161386993273507e-05	44	1-50
1666	Bas-Intyamon Grandvillard	1.7857142857142858	1.0179318881415007e-05	5	1-50
1667	Bas-Intyamon	2.0714285714285716	1.1808009902441408e-05	6	1-50
1669	Haut-Intyamon	5.785714285714286	3.298099317578462e-05	16	1-50
1670	Ursy	5.5	3.135230215475822e-05	15	1-50
1673	Auboranges Ecublens (FR) Rue	23.285714285714285	0.00013273831821365167	63	1-50
1674	Montet (Glâne) Ursy	2.5714285714285716	1.4658219189237611e-05	7	1-50
1675	Rue Ursy	14.428571428571429	8.224889656183325e-05	39	1-50
1677	Siviriez	2.5714285714285716	1.4658219189237611e-05	7	1-50
1678	Siviriez	13.071428571428571	7.451261421195785e-05	35	1-50
1679	Siviriez	2.5714285714285716	1.4658219189237611e-05	7	1-50
1680	Mézières (FR) Romont (FR)	86.64285714285715	0.0004939005521262562	235	50-200
1681	Billens-Hennens	2.7142857142857144	1.547256469975081e-05	7	1-50
1682	Dompierre (VD) Lovatens Prévonloup Valbroye	2.5	1.4251046433981009e-05	7	1-50
1684	Mézières (FR)	7.642857142857143	4.356748481245623e-05	21	1-50
1687	Vuisternens-devant-Romont	10.214285714285714	5.8225704001693834e-05	28	1-50
1688	Vuisternens-devant-Romont	1.5714285714285714	8.957800615645206e-06	4	1-50
1690	La Folliaz Villaz-Saint-Pierre	22.57142857142857	0.00012866659066108568	61	1-50
1691	La Folliaz	9.571428571428571	5.456114920438443e-05	26	1-50
1692	Massonnens	4.5	2.5651883581165816e-05	12	1-50
1694	Villorsonnens	10.285714285714286	5.8632876756950444e-05	28	1-50
1695	Gibloux	10.357142857142858	5.904004951220704e-05	28	1-50
1696	Gibloux	4.214285714285714	2.4023192560139417e-05	11	1-50
1699	Le Flon	2.7142857142857144	1.547256469975081e-05	7	1-50
1700	Fribourg	2755.285714285714	0.015706281861268098	7461	1k-10k
1712	Tafers	68.28571428571429	0.00038925715402530987	185	50-200
1713	St. Antoni	22.714285714285715	0.0001294809361715989	62	1-50
1714	Heitenried	42.642857142857146	0.00024308213488819037	115	1-50
1715	Alterswil	17.714285714285715	0.00010097884330363688	48	1-50
1716	Plaffeien	35.64285714285714	0.0002031792048730435	97	1-50
1717	St. Ursen	32.714285714285715	0.00018648512190752294	89	1-50
1718	Rechthalten	5.785714285714286	3.298099317578462e-05	16	1-50
1719	Brünisried Plaffeien	6.571428571428571	3.7459893483607225e-05	18	1-50
1720	Corminboeuf	28.285714285714285	0.0001612404110816137	77	1-50
1721	Misery-Courtion	7.357142857142857	4.193879379142982e-05	20	1-50
1722	Fribourg	17.5	9.975732503786706e-05	47	1-50
1723	Marly Pierrafortscha Villarsel-sur-Marly	160.7857142857143	0.0009165458720826074	435	50-200
1724	Ferpicloz Le Mouret Senèdes	19.285714285714285	0.00010993664391928207	52	1-50
1725	Hauterive (FR)	33.57142857142857	0.0001913711949706021	91	1-50
1726	Gibloux	13.714285714285714	7.817716900926724e-05	37	1-50
1727	Gibloux	4.214285714285714	2.4023192560139417e-05	11	1-50
1728	Gibloux	7.071428571428571	4.0310102770403426e-05	19	1-50
1730	Hauterive (FR)	19.357142857142858	0.00011034381667453867	52	1-50
1731	Ependes (FR)	5.357142857142857	3.053795664424502e-05	15	1-50
1732	Arconciel	7.0	3.990293001514683e-05	19	1-50
1733	Treyvaux	3.4285714285714284	1.954429225231681e-05	9	1-50
1734	Tentlingen	9.571428571428571	5.456114920438443e-05	26	1-50
1735	Giffers	16.214285714285715	9.242821544324826e-05	44	1-50
1736	St. Silvester	3.642857142857143	2.0765810518086612e-05	10	1-50
1737	Plasselb	4.928571428571429	2.809492011270542e-05	13	1-50
1738	Guggisberg	9.142857142857142	5.211811267284483e-05	25	1-50
1740	Neyruz (FR)	25.5	0.0001453606736266063	69	1-50
1741	Cottens (FR)	16.571428571428573	9.446407921953127e-05	45	1-50
1742	Autigny	8.571428571428571	4.886073063079203e-05	23	1-50
1744	Chénens	10.928571428571429	6.229743155425985e-05	30	1-50
1745	La Brillaz	8.5	4.845355787553543e-05	23	1-50
